ISBN,Title,Author,Year,Category,TotalCopies
9780134691166,"Geotechnical Engineering","Braja Das",2019,"Civil Engineering",6
9780134486919,"Foundation Design","Wayne Teng",2018,"Civil Engineering",5
9780134691227,"Earthquake Engineering","Steven Kramer",2017,"Civil Engineering",4
9780134487025,"Bridge Engineering","Wai-Fah Chen",2019,"Civil Engineering",5
9780134691388,"Highway Engineering","Paul Wright",2016,"Civil Engineering",4
9780134487131,"Water Resources Engineering","Larry Mays",2018,"Civil Engineering",5
9780134691449,"Coastal Engineering","Robert Dean",2017,"Civil Engineering",3
9780134487247,"Construction Engineering","Garold Oberlender",2019,"Civil Engineering",4
9780134691500,"Building Construction","William Spence",2016,"Civil Engineering",5
9780134487353,"Steel Structures","Salmon Johnson",2018,"Civil Engineering",6
9780134691661,"Prestressed Concrete","Naaman",2017,"Civil Engineering",4
9780134487469,"Timber Design","Donald Breyer",2019,"Civil Engineering",3
9780134691722,"Composite Construction","Brian Uy",2016,"Civil Engineering",4
9780134487575,"Surveying Engineering","Paul Wolf",2018,"Civil Engineering",5
9780134691883,"GIS and Remote Sensing","Paul Longley",2017,"Civil Engineering",4
9780134487681,"Urban Planning","Jay Stein",2019,"Civil Engineering",3
9780134691944,"Traffic Engineering","Roger Roess",2016,"Civil Engineering",5
9780134487797,"Airport Engineering","Norman Ashford",2018,"Civil Engineering",4
9780134692005,"Railway Engineering","Satish Chandra",2017,"Civil Engineering",3
9780134487803,"Tunnel Engineering","Thomas Megaw",2019,"Civil Engineering",4
9780134692166,"Dam Engineering","Raghunath",2016,"Civil Engineering",5
9780134487919,"Water Supply Engineering","Santosh Garg",2018,"Civil Engineering",4
9780134692227,"Wastewater Engineering","Metcalf Eddy",2017,"Civil Engineering",6
9780134488025,"Solid Waste Management","George Tchobanoglous",2019,"Civil Engineering",5
9780134692388,"Air Pollution Control","Howard Peavy",2016,"Environmental Engineering",4
9780134488131,"Environmental Impact Assessment","Larry Canter",2018,"Environmental Engineering",5
9780134692449,"Industrial Waste Treatment","Nelson Nemerow",2017,"Environmental Engineering",4
9780134488247,"Hazardous Waste Management","Michael LaGrega",2019,"Environmental Engineering",5
9780134692500,"Hydrology","Raghunath",2016,"Civil Engineering",6
9780134488353,"Irrigation Engineering","Garg",2018,"Civil Engineering",5
9780134692661,"Groundwater Hydrology","David Todd",2017,"Civil Engineering",4
9780134488469,"River Engineering","Martin Thorne",2019,"Civil Engineering",3
9780134692722,"Coastal Hydraulics","Miguel Losada",2016,"Civil Engineering",4
9780134488575,"Open Channel Hydraulics","Ven Te Chow",2018,"Civil Engineering",5
9780134692883,"Computational Fluid Dynamics","John Anderson",2017,"Mechanical Engineering",5
9780134488681,"Finite Element Analysis","Daryl Logan",2019,"Mechanical Engineering",6
9780134692944,"CAD CAM CIM","Groover",2016,"Mechanical Engineering",4
9780134488797,"Robotics and Automation","Richard Groover",2018,"Mechanical Engineering",5
9780134693005,"Mechatronics","William Bolton",2017,"Mechanical Engineering",4
9780134488803,"Industrial Engineering","Niebel",2019,"Industrial Engineering",5
9780134693166,"Operations Research","Hamdy Taha",2016,"Industrial Engineering",6
9780134488919,"Quality Control","Douglas Montgomery",2018,"Industrial Engineering",5
9780134693227,"Supply Chain Management","Sunil Chopra",2017,"Industrial Engineering",4
9780134489025,"Lean Manufacturing","James Womack",2019,"Industrial Engineering",3
9780134693388,"Six Sigma","Mikel Harry",2016,"Industrial Engineering",4
9780134489131,"Facility Planning","James Tompkins",2018,"Industrial Engineering",5
9780134693449,"Work Study","Ralph Barnes",2017,"Industrial Engineering",4
9780134489247,"Ergonomics","Mark Sanders",2019,"Industrial Engineering",3
9780134693500,"Safety Engineering","Willie Hammer",2016,"Industrial Engineering",5
9780134489353,"Reliability Engineering","Charles Ebeling",2018,"Industrial Engineering",4
9780134693661,"System Engineering","Andrew Sage",2017,"Systems Engineering",5
9780134489469,"Engineering Management","Babcock",2019,"General Engineering",4
9780134693722,"Technical Writing","Mike Markel",2016,"General Engineering",5
9780134489575,"Engineering Graphics","Frederick Giesecke",2018,"General Engineering",6
9780134693883,"Innovation and Entrepreneurship","Peter Drucker",2017,"General Engineering",3
9780134489681,"Sustainable Engineering","David Allen",2019,"Environmental Engineering",5
9780134693944,"Green Building Design","Jerry Yudelson",2016,"Civil Engineering",4
9780134489797,"Smart Grid Technology","Stuart Borlase",2018,"Electrical Engineering",5
9780134694005,"IoT Engineering","Raj Kamal",2017,"Computer Science",4
9780134489803,"Cloud Computing","Thomas Erl",2019,"Computer Science",5
9780134694166,"Big Data Analytics","Michael Berthold",2016,"Computer Science",6
9780134489919,"Machine Learning","Tom Mitchell",2018,"Computer Science",5
9780134694227,"Deep Learning","Ian Goodfellow",2017,"Computer Science",6
9780134490025,"Computer Vision","Richard Szeliski",2019,"Computer Science",4
9780134694388,"Natural Language Processing","Daniel Jurafsky",2016,"Computer Science",5
9780134490131,"Cybersecurity","William Stallings",2018,"Computer Science",5
9780134694449,"Blockchain Technology","Arvind Narayanan",2017,"Computer Science",4
9780134490247,"Quantum Computing","Michael Nielsen",2019,"Computer Science",3
9780134694500,"Augmented Reality","Dieter Schmalstieg",2016,"Computer Science",4
9780134490353,"Game Development","Steve Rabin",2018,"Computer Science",5
9780134694661,"Mobile App Development","Neil Smyth",2017,"Computer Science",4
9780134490469,"Web Development","Jon Duckett",2019,"Computer Science",6
9780134694722,"DevOps Engineering","Gene Kim",2016,"Computer Science",5
9780134490575,"Microservices Architecture","Sam Newman",2018,"Computer Science",4
9780134694883,"Agile Software Development","Robert Martin",2017,"Computer Science",5
9780134490681,"Software Testing","Ron Patton",2019,"Computer Science",4
9780134694944,"Software Architecture","Len Bass",2016,"Computer Science",5
9780134490797,"Compiler Design","Alfred Aho",2018,"Computer Science",6
